,e_enzyme,e_enzyme_composition_string,m_reaction
502,PGPPHOSPHAA-MONOMER,b0418(1),PGPP181
503,PGPPHOSPHAB-MONOMER,b1278(1),PGPP180
504,PGPPHOSPHAA-MONOMER,b0418(1),PGPP180
505,CPLX0-231,b2415(1) AND b2416(2) AND b2093(1) AND b2092(2) AND b2094(1),GALTptspp
506,PHEP-MONOMER,b0576(1),PHEt2rpp
507,AROP-MONOMER,b0112(1),PHEt2rpp
508,EG12713-MONOMER,b1473(1),PHEt2rpp
509,CPLX0-1923_EG10306-MONOMER,b1102() AND b3005() AND b1252() AND b3006(),CPGNtonex
510,CPLX0-7533,b2215(3),FE3tex
511,CPLX0-7530,b0241(3),FE3tex
512,G6700-MONOMER,b1377(1),FE3tex
513,CPLX0-7534,b0929(3),FE3tex
514,CPLX-167,b2415(1) AND b2416(2) AND b0679(2),ACGAptspp
515,CPLX-157,b2415(1) AND b2417(1) AND b1101(2) AND b2416(2),ACGAptspp
516,CITRATE-SI-SYNTHASE,b0720(6),CS
517,CPLX0-7654,b3927(4),GLYCtpp
518,CPLX0-3954,b2154(4),SFGTHi
519,G6208-MONOMER,b0355(1),SFGTHi
520,CPLX0-7533,b2215(3),ALAtex
521,CPLX0-7530,b0241(3),ALAtex
522,G6700-MONOMER,b1377(1),ALAtex
523,CPLX0-7534,b0929(3),ALAtex
524,EG10048-MONOMER,b0049(1),GP4GH
525,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),COLIPAPabctex
526,CPLX0-7533,b2215(3),HCINNMtex
527,CPLX0-7530,b0241(3),HCINNMtex
528,G6700-MONOMER,b1377(1),HCINNMtex
529,CPLX0-7534,b0929(3),HCINNMtex
530,G6580-MONOMER,b1134(1),TDP
531,HEMN-MONOMER,b3867(1),CPPPGO2
532,TETRAACYLDISACC4KIN-MONOMER,b0915(1),TDSK
533,CPLX0-250_FORMATEDEHYDROGH-MONOMER,b2487() AND b2484() AND b2488() AND b2481() AND b2486() AND b2485() AND b2482() AND b2489() AND b4079() AND b2490() AND b2483(),FHL
534,FHLMULTI-CPLX,b2719() AND b2722() AND b2720() AND b4079(1) AND b2724() AND b2723() AND b2721(),FHL
535,EG11167-MONOMER,b3040(1),CD2tpp
536,THI-P-KIN-MONOMER,b0417(1),TMPK
537,CPLX0-7,b2415() AND b2429() AND b2417() AND b2416(),ACMUMptspp
538,TDK-MONOMER,b1238(1),DURIK1
539,CPLX0-7533,b2215(3),ACGAL1Ptex
540,CPLX0-7530,b0241(3),ACGAL1Ptex
541,G6700-MONOMER,b1377(1),ACGAL1Ptex
542,CPLX0-7534,b0929(3),ACGAL1Ptex
543,CPLX0-7533,b2215(3),TSULtex
544,CPLX0-7530,b0241(3),TSULtex
545,G6700-MONOMER,b1377(1),TSULtex
546,CPLX0-7534,b0929(3),TSULtex
547,CPDB-MONOMER,b4213(1),3NTD9pp
548,CPLX0-1667,b2342(),ACACT2r
549,FADA-CPLX,b3845(2),ACACT2r
550,LTARTDEHYDRA-CPLX,b3062(2) AND b3061(2),TARTD
551,PDXK-CPLX,b2418(4),PYDAMK
552,ABC-18-CPLX,b2150(1) AND b2148(2) AND b2149(2),GLCabcpp
553,CPLX0-7533,b2215(3),FUSAtex
554,CPLX0-7534,b0929(3),FUSAtex
555,CPLX0-7530,b0241(3),FUSAtex
556,G6700-MONOMER,b1377(1),FUSAtex
557,MONOMER0-341,b3821(1),PLIPA1G160pp
558,EG12438-MONOMER,b2263(1),SHCHCS3
559,MHPCHYDROL-MONOMER,b0349(1),HKNTDH
560,B1296-MONOMER,b1296(1),PTRCt2pp
561,POTE-MONOMER,b0692(1),PTRCt2pp
562,EG10739-MONOMER,b3825(1),LPLIPAL2G180
563,EG10739-MONOMER,b3825(1),LPLIPAL2G181
564,UXAC-MONOMER,b3092(1),GUI2
565,UXAC-MONOMER,b3092(1),GUI1
566,CPLX0-7717,b3396(2),MCTP2App
567,CPLX0-3951,b0149(2),MCTP2App
568,EG10606-MONOMER,b0635(1),MCTP2App
569,EG10341-MONOMER,b0084(1),MCTP2App
570,CPLX0-7533,b2215(3),GLUtex
571,CPLX0-7530,b0241(3),GLUtex
572,G6700-MONOMER,b1377(1),GLUtex
573,CPLX0-7534,b0929(3),GLUtex
574,CPLX0-7655,b4036(3),MALTHXtexi
575,G7859-MONOMER,b4197(1),X5PL3E
576,CPLX0-1541,b0159(2),AHCYSNS
577,GLUTAMINESYN-OLIGOMER,b3870(12),GLNS
578,CPLX0-7709,b1297(12),GLNS
579,G6358-MONOMER,b0651(1),URIH
580,CPLX0-7904,b2162(4),URIH
581,EG11082-MONOMER,b0030(1),URIH
582,EG11956-MONOMER,b4084(1),ALLK
583,ABC-7-CPLX,b2422(2) AND b2423(1) AND b2424(1) AND b2425(1),SLNTtpp
584,YFEP-MONOMER,b2392(1),MNt2pp
585,MONOMER0-341,b3821(1),PLIPA1E160pp
586,RIBF-MONOMER,b0025(1),RBFK
587,2-OCTAPRENYLPHENOL-HYDROX-MONOMER,b3835(1),OPHHX
588,G6621-MONOMER,b1192(1),4PCP
589,CPLX0-7533,b2215(3),ACNAMtex
590,G7921-MONOMER,b4311(1),ACNAMtex
591,CPLX0-7534,b0929(3),ACNAMtex
592,CPLX0-7533,b2215(3),CGLYtex
593,CPLX0-7530,b0241(3),CGLYtex
594,G6700-MONOMER,b1377(1),CGLYtex
595,CPLX0-7534,b0929(3),CGLYtex
596,CPLX0-7533,b2215(3),Zn2tex
597,CPLX0-7530,b0241(3),Zn2tex
598,G6700-MONOMER,b1377(1),Zn2tex
599,CPLX0-7534,b0929(3),Zn2tex
600,CPLX0-7,b2415() AND b2429() AND b2417() AND b2416(),SUCptspp
601,G7431-MONOMER,b2765(1),CPH4S
602,HYDROG3-CPLX,b2724() AND b2722() AND b2719() AND b2720() AND b2723() AND b2721(),HYD1pp
603,FORMHYDROGI-CPLX,b0974() AND b0972() AND b0973(),HYD1pp
604,FORMHYDROG2-CPLX,b2994() AND b2995() AND b2996() AND b2997(),HYD1pp
605,USHA-MONOMER,b0480(1),UDPGPpp
606,CPLX0-1924,b3966() AND b1252() AND b3005() AND b3006(),CBItonex
607,CPLX0-235,b3553(2),2DGULRGy
608,CPLX0-235,b3553(2),2DGULRGx
609,CPLX0-7533,b2215(3),DOPAtex
610,CPLX0-7530,b0241(3),DOPAtex
611,G6700-MONOMER,b1377(1),DOPAtex
612,CPLX0-7534,b0929(3),DOPAtex
613,EG12455-MONOMER,b2835(1),2AGPG180tipp
614,NUCLEOSIDE-DIP-KIN-CPLX,b2518(4),NDPK4
615,ADENYL-KIN-MONOMER,b0474(1),NDPK4
616,CPLX0-7533,b2215(3),GTHRDtex
617,CPLX0-7530,b0241(3),GTHRDtex
618,G6700-MONOMER,b1377(1),GTHRDtex
619,CPLX0-7534,b0929(3),GTHRDtex
620,CPLX0-7533,b2215(3),AGMtex
621,CPLX0-7530,b0241(3),AGMtex
622,G6700-MONOMER,b1377(1),AGMtex
623,CPLX0-7534,b0929(3),AGMtex
624,HOMOCYSMET-MONOMER,b3829(1),METS
625,HOMOCYSMETB12-MONOMER,b4019(1),METS
626,CPM-KDOSYNTH-MONOMER,b0918(1),KDOCT2
627,G7090-MONOMER_EG11982-MONOMER,b2027() AND b2035(),O16AP1pp
628,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),ACOLIPAabctex
629,PUTA-CPLX,b1014(2),PROD2
630,G6715-MONOMER,b1394(1),REPHACCOAI
631,CPLX0-7533,b2215(3),G3PStex
632,CPLX0-7530,b0241(3),G3PStex
633,G6700-MONOMER,b1377(1),G3PStex
634,CPLX0-7534,b0929(3),G3PStex
635,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),ENLIPAabctex
636,CPLX0-7533,b2215(3),PSCLYStex
637,CPLX0-7530,b0241(3),PSCLYStex
638,CPLX0-7534,b0929(3),PSCLYStex
639,G6700-MONOMER,b1377(1),PSCLYStex
640,CPLX0-7533,b2215(3),HOMtex
641,CPLX0-7530,b0241(3),HOMtex
642,G6700-MONOMER,b1377(1),HOMtex
643,CPLX0-7534,b0929(3),HOMtex
644,ABC-33-CPLX,b3566(1) AND b3567(2) AND b3568(2),XYLabcpp
645,CPLX0-7704,b0914(2),PE120abcpp
646,ALTRO-OXIDOREDUCT-MONOMER,b1521(1),TAGURr
647,CPLX0-7533,b2215(3),GBBTNtex
648,CPLX0-7530,b0241(3),GBBTNtex
649,G6700-MONOMER,b1377(1),GBBTNtex
650,CPLX0-7534,b0929(3),GBBTNtex
651,GLYCDEH-CPLX,b3945(8),GLYCDx
652,RIBULPEPIM-CPLX,b0061(4),RBP4E
653,G7860-MONOMER,b4198(1),RBP4E
654,EG12287-MONOMER,b3583(1),RBP4E
655,CPLX0-7533,b2215(3),CHTBStex
656,G6700-MONOMER,b1377(1),CHTBStex
657,CPLX0-7530,b0241(3),CHTBStex
658,CPLX0-7534,b0929(3),CHTBStex
659,CPLX0-7533,b2215(3),METtex
660,CPLX0-7530,b0241(3),METtex
661,G6700-MONOMER,b1377(1),METtex
662,CPLX0-7534,b0929(3),METtex
663,ACYLCOADEHYDROG-MONOMER,b0221(1),ACOAD4f
664,ALPHAGALACTOSID-CPLX,b4119(2),GALS3
665,CPLX0-7533,b2215(3),DMStex
666,CPLX0-7530,b0241(3),DMStex
667,G6700-MONOMER,b1377(1),DMStex
668,CPLX0-7534,b0929(3),DMStex
669,B1006-MONOMER,b1006(1),URAt2rpp
670,AMP-NUCLEOSID-CPLX,b1982(6),AMPN
671,CPLX0-7466,b3564(2),DXYLK
672,PHOSNACMURPENTATRANS-MONOMER,b0087(1),PAPPT3
673,MHPHYDROXY-MONOMER,b0347(1),3HCINNMH
674,ABC-3-CPLX,b2308(1) AND b2310(1) AND b2307(1) AND b2306(2),ORNabcpp
675,CPLX0-7704,b0914(2),PG160abcpp
676,SULFITE-REDUCT-CPLX,b2764(8) AND b2763(4),FLVR
677,FMNREDUCT-MONOMER,b3844(1),FLVR
678,CPLX0-253,b3028(2),NADPHQR3
679,CPLX0-253,b3028(2),NADPHQR4
680,COBS-MONOMER,b1992(1),ADOCBLS
681,CPLX0-7704,b0914(2),PG180abcpp
682,G6662-MONOMER,b1326(1),LADGMDH
683,DEHYDDEOXGALACTKIN-MONOMER,b3693(1),DDGALK
684,ABC-11-CPLX,b0152(1) AND b0151(2) AND b0153(2),CPGNabcpp
685,CPLX0-3976_edit,b3785() AND b3793(),ECAP1pp
686,ORNDECARBOX-BIO-CPLX,b2965(2),ORNDC
687,ORNDECARBOXDEG-CPLX,b0693(2),ORNDC
688,CPLX0-7533,b2215(3),PItex
689,CPLX0-7530,b0241(3),PItex
690,G6700-MONOMER,b1377(1),PItex
691,CPLX0-7534,b0929(3),PItex
692,CYTIDEAM-CPLX,b2143(2),DCYTD
693,EG10048-MONOMER,b0049(1),AP5AH
694,CPLX0-7533,b2215(3),GLCURtex
695,CPLX0-7530,b0241(3),GLCURtex
696,G6700-MONOMER,b1377(1),GLCURtex
697,CPLX0-7534,b0929(3),GLCURtex
698,CPLX0-7533,b2215(3),IDONtex
699,CPLX0-7530,b0241(3),IDONtex
700,G6700-MONOMER,b1377(1),IDONtex
701,CPLX0-7534,b0929(3),IDONtex
702,PGPPHOSPHAB-MONOMER,b1278(1),PGPP160pp
703,PGPPHOSPHAA-MONOMER,b0418(1),PGPP160pp
704,G495-MONOMER,b2901(1),AB6PGH
705,CPLX0-237,b3607(6),SERAT
706,CPLX0-7533,b2215(3),TYRtex
707,CPLX0-7530,b0241(3),TYRtex
708,G6700-MONOMER,b1377(1),TYRtex
709,CPLX0-7534,b0929(3),TYRtex
710,EG10280-MONOMER,b2344(1),HDCAtexi
711,CPLX-169,b2415() AND b2704() AND b2416() AND b2703() AND b2702(),SBTptspp
712,THIOESTERII-CPLX,b0452(4),FACOAE100
713,CPLX0-1683,b3665(2),ADD
714,CPLX0-7631,b2802(6),FCI
715,GALACTONATE-DEHYDRATASE-MONOMER,b4478(1),GALCTND
716,GLUCDEHYDROG-MONOMER,b0124(1),GLCDpp
717,G6437-MONOMER,b0837(1),GLCDpp
718,FORMATEDEHYDROGO-CPLX,b3892(1) AND b3893(1) AND b3894(1),FDH4pp
719,FORMATEDEHYDROGN-CPLX,b1475(3) AND b1474(3) AND b1476(3),FDH4pp
720,ALTRODEHYDRAT-MONOMER,b3091(1),ALTRH
721,CPLX0-7533,b2215(3),LALALGLUtex
722,CPLX0-7530,b0241(3),LALALGLUtex
723,CPLX0-7534,b0929(3),LALALGLUtex
724,G6700-MONOMER,b1377(1),LALALGLUtex
725,CPLX0-301,b3843(6),OPHBDC
726,UBIX-MONOMER_DHHB-METHYLTRANSFER-MONOMER,b2311() AND b2232(),OPHBDC
727,EG10564-MONOMER,b1622(1),CYSTL
728,CYSTATHIONINE-BETA-LYASE-CPLX,b3008(4),CYSTL
729,BTUE-MONOMER,b1710(1),GTHPi
730,CPLX0-1923_EG10155-MONOMER,b3005() AND b1252() AND b2155() AND b3006(),FE3DHBZStonex
731,G6414-MONOMER_CPLX0-1923,b0805() AND b1252() AND b3005() AND b3006(),FE3DHBZStonex
732,CMR-MONOMER,b0842(1),Kt3pp
733,CPLX0-7819,b0047(2),Kt3pp
734,KEFB-MONOMER,b3350(1),Kt3pp
735,CHAA-MONOMER,b1216(1),Kt3pp
736,NAG1P-URIDYLTRANS-CPLX,b3730(3),UAGDP
737,TSA-REDUCT-MONOMER,b3125(1),TRSARr
738,CPLX0-7616,b0509(4),TRSARr
739,PDXH-CPLX,b1638(2),PDX5POi
740,APHA-CPLX,b4055(4),R5PPpp
741,MHPT-MONOMER,b0353(1),HPPPNt2rpp
742,CPLX0-7533,b2215(3),SUCCtex
743,CPLX0-7530,b0241(3),SUCCtex
744,G6700-MONOMER,b1377(1),SUCCtex
745,CPLX0-7534,b0929(3),SUCCtex
746,YAAJ-MONOMER,b0007(1),ALAt4pp
747,DCUA-MONOMER,b4138(1),ASPt2_3pp
748,DCUB-MONOMER,b4123(1),ASPt2_3pp
749,CPLX0-7533,b2215(3),ACGALtex
750,CPLX0-7530,b0241(3),ACGALtex
751,G6700-MONOMER,b1377(1),ACGALtex
752,CPLX0-7534,b0929(3),ACGALtex
753,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),ECA4COLIPAabctex
754,CPLX0-7533,b2215(3),NO3tex
755,CPLX0-7530,b0241(3),NO3tex
756,CPLX0-7534,b0929(3),NO3tex
757,G6700-MONOMER,b1377(1),NO3tex
758,SUPEROX-DISMUTFE-CPLX,b1656(2),SPODM
759,SUPEROX-DISMUTMN-CPLX,b3908(2),SPODM
760,ABC-13-CPLX,b0655() AND b0654() AND b0653() AND b0652(),GLUabcpp
761,G6339-MONOMER,b0613(1),TPRDCOAS
762,EG11817-MONOMER,b2744(1),NTD8
763,CPLX0-7625,b2291(2),NTD8
764,EG11817-MONOMER,b2744(1),NTD9
765,EG11817-MONOMER,b2744(1),NTD6
766,CPLX0-7625,b2291(2),NTD6
767,EG11817-MONOMER,b2744(1),NTD7
768,EG11817-MONOMER,b2744(1),NTD4
769,EG12115-MONOMER,b4374(1),NTD5
770,EG11817-MONOMER,b2744(1),NTD5
771,CPLX0-7625,b2291(2),NTD5
772,EG12115-MONOMER,b4374(1),NTD2
773,EG11817-MONOMER,b2744(1),NTD2
774,EG11817-MONOMER,b2744(1),NTD3
775,CPLX0-7625,b2291(2),NTD3
776,EG12115-MONOMER,b4374(1),NTD1
777,EG11817-MONOMER,b2744(1),NTD1
778,CPLX0-7625,b2291(2),NTD1
779,XAPB-MONOMER,b2406(1),THMDt2rpp
780,CPLX0-7533,b2215(3),NAtex
781,CPLX0-7530,b0241(3),NAtex
782,G6700-MONOMER,b1377(1),NAtex
783,CPLX0-7534,b0929(3),NAtex
784,S-ADENMETSYN-CPLX,b2942(4),METAT
785,EG11035-MONOMER,b0411(1),INStex
786,TRANS-CPLX-201,b0462() AND b0463() AND b3035(),DOXRBCNtpp
787,CPLX0-3932,b0463() AND b2470() AND b3035(),DOXRBCNtpp
788,EG12712-MONOMER,b2687(1),RHCCE
789,PEPCARBOXYKIN-MONOMER,b3403(1),PPCK
790,FADB-CPLX,b3846(2),CTECOAI6
791,YHIP-MONOMER,b3496(1),LALADGLUtpp
792,YJDL-MONOMER,b4130(1),LALADGLUtpp
793,B1634-MONOMER,b1634(1),LALADGLUtpp
794,B0709-MONOMER,b0709(1),LALADGLUtpp
795,ASL-MONOMER,b1131(1),ADSL1r
796,CPLX0-7533,b2215(3),PACALDtex
797,CPLX0-7530,b0241(3),PACALDtex
798,G6700-MONOMER,b1377(1),PACALDtex
799,CPLX0-7534,b0929(3),PACALDtex
800,FADB-CPLX,b3846(2),CTECOAI8
801,GLU6PDEHYDROG-MONOMER,b1852(1),G6PDH2r
802,MMUM-MONOMER,b0261(1),HCYSMT
803,ATPASE-1-CPLX,b0698() AND b4513() AND b0697() AND b0696(),Kabcpp
804,ATPASE-1-CPLX_no_MONOMER0-12,b0698() AND b0697() AND b0696(),Kabcpp
805,MELB-MONOMER,b4120(1),MELIBt2pp
806,ACETYLORNDEACET-CPLX,b3957(2),NACODA
807,CPLX0-7533,b2215(3),DSERtex
808,CPLX0-7530,b0241(3),DSERtex
809,G6700-MONOMER,b1377(1),DSERtex
810,CPLX0-7534,b0929(3),DSERtex
811,CPLX0-7641,b3915(2),HG2t3pp
812,CPLX0-7641,b3915(2),NI2t3pp
813,B0752-MONOMER,b0752(1),NI2t3pp
814,CPLX0-7712,b2051(2),GDPMNH
815,EG10153-MONOMER,b0827(1),BMOCOS
816,EG12440-MONOMER,b4233(1),UM4PL
817,CPLX0-7533,b2215(3),ACMUMtex
818,CPLX0-7530,b0241(3),ACMUMtex
819,G6700-MONOMER,b1377(1),ACMUMtex
820,CPLX0-7534,b0929(3),ACMUMtex
821,CPLX0-7630,b0494(4),LPLIPAL1A120pp
822,CPLX0-3971,b2467(3),GDPMNP
823,B0260-MONOMER,b0260(1),MMETt2pp
824,G6714-MONOMER,b1393(1),DHACOAH
825,EG11167-MONOMER,b3040(1),MN2tpp
826,CPLX0-7704,b0914(2),PE180abcpp
827,EG11158-MONOMER,b2912(1),FOMETRi
828,ABC-11-CPLX,b0152(1) AND b0151(2) AND b0153(2),ARBTNabcpp
829,PGPPHOSPHAB-MONOMER,b1278(1),PAPA160
830,PGPPHOSPHAB-MONOMER,b1278(1),PAPA161
831,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,b1850(3),EDA
832,ABC-16-CPLX,b4034(1) AND b4035(2) AND b4033(1) AND b4032(1),MALTPTabcpp
833,CPLX0-1667,b2342(),ACACT3r
834,FADA-CPLX,b3845(2),ACACT3r
835,PGPPHOSPHAB-MONOMER,b1278(1),PGPP120pp
836,PGPPHOSPHAA-MONOMER,b0418(1),PGPP120pp
837,CPLX0-1942,b1252() AND b0150() AND b3005() AND b3006(),FEOXAMtonex
838,GLYCPDIESTER-PERI-CPLX,b2239(2),GPDDA3pp
839,POTE-MONOMER,b0692(1),PTRCORNt7pp
840,CPLX0-7826,b2954(2),NTPP9
841,CPLX0-7692,b2781(2),NTPP8
842,CPLX0-7692,b2781(2),NTPP7
843,G7164-MONOMER,b2251(1),NTPP7
844,CPLX0-7692,b2781(2),NTPP6
845,CPLX0-7692,b2781(2),NTPP5
846,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,b1865(1),NTPP5
847,CPLX0-7692,b2781(2),NTPP4
848,G6954-MONOMER,b1759(1),NTPP4
849,CPLX0-7692,b2781(2),NTPP3
850,G6954-MONOMER,b1759(1),NTPP3
851,G7164-MONOMER,b2251(1),NTPP3
852,EG10626-MONOMER,b0099(1),NTPP2
853,CPLX0-7692,b2781(2),NTPP2
854,EG10626-MONOMER,b0099(1),NTPP1
855,CPLX0-7692,b2781(2),NTPP1
856,G7419-MONOMER,b2738(1),FCLPA
857,CPLX0-7633,b2800(4),FCLPA
858,UHPT-MONOMER,b3666(1),F6Pt6_2pp
859,MANNPISOM-MONOMER,b1613(1),MAN6PI
860,CPLX0-7533,b2215(3),PPALtex
861,CPLX0-7530,b0241(3),PPALtex
862,G6700-MONOMER,b1377(1),PPALtex
863,CPLX0-7534,b0929(3),PPALtex
864,DHPDIOXYGEN-CPLX,b0348(4),HPPPNDO
865,BETAGALACTOSID-CPLX,b0344(4),LACZ
866,CPLX-63,b1872(1) AND b1873(1),DMSOR2pp
867,ALD-CPLX,b1415(4),LCADi
868,BETT-MONOMER,b0314(1),CHLt2pp
869,YEAV-MONOMER,b1801(1),CHLt2pp
870,CPLX0-251,b0333(2),MCITS
871,G6199-MONOMER,b0334(1),MCITD
872,CPLX0-7533,b2215(3),HIStex
873,CPLX0-7530,b0241(3),HIStex
874,G6700-MONOMER,b1377(1),HIStex
875,CPLX0-7534,b0929(3),HIStex
876,GLUTAMIDOTRANS-CPLX,b2025(1) AND b2023(1),IG3PS
877,CPLX0-7533,b2215(3),DINStex
878,CPLX0-7530,b0241(3),DINStex
879,G6700-MONOMER,b1377(1),DINStex
880,CPLX0-7534,b0929(3),DINStex
881,PHOSPHASERSYN-CPLX,b2585(),PSSA181
882,PHOSPHASERSYN-CPLX,b2585(),PSSA180
883,CPLX0-7533,b2215(3),SULFACtex
884,CPLX0-7530,b0241(3),SULFACtex
885,CPLX0-7534,b0929(3),SULFACtex
886,G6700-MONOMER,b1377(1),SULFACtex
887,DEOXYRIBOSE-P-ALD-MONOMER,b4381(1),DRPA
888,CPLX0-7533,b2215(3),OCTAtex
889,CPLX0-7530,b0241(3),OCTAtex
890,G6700-MONOMER,b1377(1),OCTAtex
891,CPLX0-7534,b0929(3),OCTAtex
892,DTDPGLUCOSEPP2-MONOMER,b3789(1),G1PTT
893,DTDPGLUCOSEPP-MONOMER,b2039(1),G1PTT
894,CPLX0-7533,b2215(3),CD2tex
895,CPLX0-7530,b0241(3),CD2tex
896,G6700-MONOMER,b1377(1),CD2tex
897,CPLX0-7534,b0929(3),CD2tex
898,EG11351-MONOMER,b3628(1),GALT1
899,CPLX0-7533,b2215(3),URAtex
900,CPLX0-7530,b0241(3),URAtex
901,G6700-MONOMER,b1377(1),URAtex
902,CPLX0-7534,b0929(3),URAtex
903,THIG-MONOMER,b3991(1),TYRL
904,NICONUCADENYLYLTRAN-MONOMER,b0639(1),NNATr
905,CPLX0-7704,b0914(2),PE161abcpp
906,2-DEHYDROPANTOATE-REDUCT-MONOMER,b0425(1),DPR
907,CPLX0-7643,b3774(4),DPR
908,CAIC-MONOMER,b0037(1),CRNCAL2
909,PORPHOBILSYNTH-CPLX,b0369(8),PPBNGS
910,ABC-56-CPLX,b0934(2) AND b0933(2) AND b0936(),SULFACabcpp
911,EG11373-MONOMER,b2558(1),MLTGY3pp
912,G7410-MONOMER,b2701(1),MLTGY3pp
913,G7457-MONOMER,b2813(1),MLTGY3pp
914,EG10950-MONOMER,b4392(1),MLTGY3pp
915,G7533-MONOMER,b2963(1),MLTGY3pp
916,G6622-MONOMER,b1193(1),MLTGY3pp
917,MALTODEXGLUCOSID-MONOMER,b0403(1),MLTG3
918,MALTODEXGLUCOSID-MONOMER,b0403(1),MLTG2
919,CARBPSYN-CPLX,b0032(2) AND b0033(2),CBPS
920,DCTA-MONOMER,b3528(1),MALDt2_2pp
921,EG10041-MONOMER,b0110(1),AGM3PA
922,G6567-MONOMER,b1107(1),AGM3PH
923,TDK-MONOMER,b1238(1),TMDK1
924,CPLX0-7630,b0494(4),LPLIPAL1A160pp
925,CPLX0-7704,b0914(2),PGP140abcpp
926,EG10739-MONOMER,b3825(1),LPLIPAL2ATG161
927,EG10739-MONOMER,b3825(1),LPLIPAL2ATG160
928,ABC-34-CPLX,b3452(1) AND b3453(1) AND b3451(1) AND b3450(2),GLYC3Pabcpp
929,ACYLCOADEHYDROG-MONOMER,b0221(1),ACOAD5f
930,CPLX0-7533,b2215(3),ILEtex
931,CPLX0-7530,b0241(3),ILEtex
932,G6700-MONOMER,b1377(1),ILEtex
933,CPLX0-7534,b0929(3),ILEtex
934,EG12134-MONOMER,b0813(1),HOMt2pp
935,RHTB-MONOMER,b3824(1),HOMt2pp
936,ABC-7-CPLX,b2422(2) AND b2423(1) AND b2424(1) AND b2425(1),TSULabcpp
937,ABC-70-CPLX,b3917(1) AND b2422(2) AND b2423(1) AND b2424(1),TSULabcpp
938,EG10739-MONOMER,b3825(1),LPLIPAL2ATE181
939,FOLC-MONOMER,b2315(1),DHFS
940,DCUA-MONOMER,b4138(1),SUCMALtpp
941,DCUB-MONOMER,b4123(1),SUCMALtpp
942,DCUC-MONOMER,b0621(1),SUCMALtpp
943,CPLX0-7532,b0451(3),NH4tpp
944,BRANCHED-CHAINAMINOTRANSFER-CPLX,b3770(6),VALTA
945,DIMESULFREDUCT-CPLX,b0896(1) AND b0895(1) AND b0894(1),TMAOR1
946,CPLX0-1601,b1587(1) AND b1590(1) AND b1588(1) AND b1589(1),TMAOR1
947,G6425-MONOMER,b0822(1),R5PP
948,EG10739-MONOMER,b3825(1),LPLIPAL2A120
949,CFA-CPLX,b1661(2),CFAS160G
950,CFA-CPLX,b1661(2),CFAS160E
951,MENF-CPLX,b2265(2),ICHORS
952,ADENYL-KIN-MONOMER,b0474(1),ADK4
953,ADENYL-KIN-MONOMER,b0474(1),ADK3
954,ADENYL-KIN-MONOMER,b0474(1),ADK1
955,MONOMER0-341,b3821(1),PLIPA2E141pp
956,CPLX0-7654,b3927(4),GLYALDtpp
957,EG12318-MONOMER,b0123(1),FEROpp
958,MONOMER0-341,b3821(1),PLIPA1G161pp
959,EG11674-MONOMER,b3059(1),APG3PAT181
960,EG11674-MONOMER,b3059(1),APG3PAT180
961,SUCCARGDIHYDRO-MONOMER,b1745(1),SADH
962,YHIP-MONOMER,b3496(1),LALALGLUtpp
963,YJDL-MONOMER,b4130(1),LALALGLUtpp
964,B1634-MONOMER,b1634(1),LALALGLUtpp
965,B0709-MONOMER,b0709(1),LALALGLUtpp
966,CPLX0-7704,b0914(2),PA161abcpp
967,CARNRACE-MONOMER,b0036(1),CRNCDH
968,PGPPHOSPHAB-MONOMER,b1278(1),PGPP141
969,PGPPHOSPHAA-MONOMER,b0418(1),PGPP141
970,PGPPHOSPHAB-MONOMER,b1278(1),PGPP140
971,PGPPHOSPHAA-MONOMER,b0418(1),PGPP140
972,XAPB-MONOMER,b2406(1),CYTDt2rpp
973,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,b3833(1),AMMQLT8
974,EG12666-MONOMER,b0524(1),USHD
975,UDP-NACMURALGLDAPLIG-MONOMER,b0085(1),UAAGDS
976,MALDEXPHOSPHORYL-CPLX,b3417(2),GLCP2
977,GLYCOPHOSPHORYL-CPLX,b3428(2),GLCP2
978,MANNPDEHYDROG-MONOMER,b3600(1),M1PD
979,ABC-34-CPLX,b3452(1) AND b3453(1) AND b3451(1) AND b3450(2),G3PCabcpp
980,G6806-MONOMER,b1519(1),ACONMT
981,G7164-MONOMER,b2251(1),DUTPDP
982,DUTP-PYROP-CPLX,b3640(3),DUTPDP
983,CPLX-168,b2415(1) AND b2417(1) AND b2416(2) AND b4240(2),TREptspp
984,PGAM2-MONOMER,b4395(1),PGM
985,PGMI-MONOMER,b3612(1),PGM
986,PHOSGLYCMUTASE,b0755(2),PGM
987,CPLX0-7533,b2215(3),GALCTtex
988,CPLX0-7530,b0241(3),GALCTtex
989,G6700-MONOMER,b1377(1),GALCTtex
990,CPLX0-7534,b0929(3),GALCTtex
991,MONOMER0-149,b0207(1),ALR2
992,MONOMER0-148,b3012(1),ALR2
993,G6967-MONOMER,b1781(1),ALR2
